"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.77548467792E+003, +3.37701741616E-002, +0.00000000000E+000
+1.77798624140E+003, +3.41386047562E-002, +0.00000000000E+000
+1.78048780488E+003, +3.43195749718E-002, +0.00000000000E+000
+1.78298936836E+003, +3.46473804471E-002, +0.00000000000E+000
+1.78549093183E+003, +3.47734066480E-002, +0.00000000000E+000
+1.78799249531E+003, +3.50126080404E-002, +0.00000000000E+000
+1.79049405879E+003, +3.53078568697E-002, +0.00000000000E+000
+1.79299562226E+003, +3.54127522431E-002, +0.00000000000E+000
+1.79549718574E+003, +3.57604809102E-002, +0.00000000000E+000
+1.79799874922E+003, +3.60230170288E-002, +0.00000000000E+000
+1.80050031270E+003, +3.63136462205E-002, +0.00000000000E+000
+1.80300187617E+003, +3.65347430511E-002, +0.00000000000E+000
+1.80550343965E+003, +3.66970518702E-002, +0.00000000000E+000
+1.80800500313E+003, +3.70439418077E-002, +0.00000000000E+000
+1.81050656660E+003, +3.71715314646E-002, +0.00000000000E+000
+1.81300813008E+003, +3.74109446340E-002, +0.00000000000E+000
+1.81550969356E+003, +3.77530112148E-002, +0.00000000000E+000
+1.81801125704E+003, +3.81216845017E-002, +0.00000000000E+000
+1.82051282051E+003, +3.83520512349E-002, +0.00000000000E+000
+1.82301438399E+003, +3.84153555030E-002, +0.00000000000E+000
+1.82551594747E+003, +3.87393576811E-002, +0.00000000000E+000
+1.82801751094E+003, +3.90631401459E-002, +0.00000000000E+000
+1.83051907442E+003, +3.93331043914E-002, +0.00000000000E+000
+1.83302063790E+003, +3.95068924348E-002, +0.00000000000E+000
+1.83552220138E+003, +3.98303700393E-002, +0.00000000000E+000
+1.83802376485E+003, +4.01391355137E-002, +0.00000000000E+000
+1.84052532833E+003, +4.05157486858E-002, +0.00000000000E+000
+1.84302689181E+003, +4.07616375265E-002, +0.00000000000E+000
+1.84552845528E+003, +4.10840594194E-002, +0.00000000000E+000
+1.84803001876E+003, +4.14006154406E-002, +0.00000000000E+000
+1.85053158224E+003, +4.16516455841E-002, +0.00000000000E+000
+1.85303314572E+003, +4.20966102183E-002, +0.00000000000E+000
